series,period,days,lead_first_med,lead_auction_med,fut_earlier
CR,2022-08,23,-2.500,-10.000,0.000
CR,2022-09,22,57.500,50.000,0.682
CR,2022-10,21,57.500,50.000,1.000
CR,2022-11,21,57.500,50.000,1.000
CR,2022-12,22,57.500,50.000,1.000
CR,2023-01,21,55.000,50.000,1.000
CR,2023-02,19,55.000,50.000,1.000
CR,2023-03,22,55.000,50.000,1.000
CR,2023-04,20,55.000,50.000,1.000
CR,2023-05,21,55.000,50.000,1.000
CR,2023-06,21,55.000,50.000,1.000
CR,2023-07,21,60.000,55.000,1.000
CR,2023-08,23,60.000,55.000,1.000
CR,2023-09,21,55.000,50.000,1.000
CR,2023-10,22,55.000,50.000,1.000
CR,2023-11,22,60.000,55.000,1.000
CR,2023-12,21,60.000,55.000,1.000
CR,2024-01,21,60.000,55.000,1.000
CR,2024-02,20,60.000,55.000,1.000
CR,2024-03,20,60.000,55.000,1.000
CR,2024-04,22,60.000,55.000,1.000
CR,2024-05,21,60.000,55.000,1.000
CR,2024-06,19,0.000,-5.000,0.368
CR,2024-07,23,0.000,-5.000,0.000
CR,2024-08,22,-175.000,-5.000,0.000
CR,2024-09,21,-175.000,-5.000,0.000
CR,2024-10,23,-175.000,-5.000,0.000
CR,2024-11,20,-175.000,-5.000,0.000
CR,2024-12,21,-175.000,-5.000,0.000
CR,2025-01,20,-175.000,-5.000,0.000
CR,2025-02,20,-120.000,55.000,0.000
CR,2025-03,21,-120.000,55.000,0.000
CR,2025-04,22,-120.000,55.000,0.000
CR,2025-05,20,-120.000,55.000,0.000
CR,2025-06,20,-120.000,55.000,0.000
CR,2025-07,23,-120.000,55.000,0.000
CR,2025-08,21,-120.000,55.000,0.000
CR,2025-09,22,-120.000,55.000,0.000
CR,2025-10,23,-120.000,55.000,0.000
CR,2025-11,19,-120.000,55.000,0.000
CR,2025-12,22,-120.000,55.000,0.000
CR,2026-01,19,-120.000,55.000,0.000
CR,2026-02,19,-120.000,55.000,0.000
CR,2026-03,22,-120.000,55.000,0.000
CR,2026-04,22,-120.000,55.000,0.000
CR,2026-05,20,-120.000,55.000,0.000
CR,2026-06,21,-120.000,55.000,0.000
CR,2026-07,23,0.000,175.000,0.000
CR,2026-08,21,0.000,175.000,0.000
CR,2026-09,9,0.000,175.000,0.000
GD,2022-01,20,87.500,170.000,1.000
GD,2022-02,18,87.500,170.000,0.944
GD,2022-03,6,-2.500,-10.000,0.000
GD,2022-04,21,-2.500,-10.000,0.000
GD,2022-05,18,-2.500,-10.000,0.000
GD,2022-06,21,-2.500,-10.000,0.000
GD,2022-07,21,-2.500,-10.000,0.000
GD,2022-08,23,-2.500,-10.000,0.000
GD,2022-09,22,57.500,50.000,0.682
GD,2022-10,21,57.500,50.000,1.000
GD,2022-11,21,57.500,50.000,1.000
GD,2022-12,22,57.500,50.000,1.000
GD,2023-01,21,55.000,50.000,1.000
GD,2023-02,19,55.000,50.000,1.000
GD,2023-03,22,55.000,50.000,1.000
GD,2023-04,20,55.000,50.000,1.000
GD,2023-05,21,55.000,50.000,1.000
GD,2023-06,21,55.000,50.000,1.000
GD,2023-07,21,60.000,55.000,1.000
GD,2023-08,23,60.000,55.000,1.000
GD,2023-09,21,55.000,50.000,1.000
GD,2023-10,22,55.000,50.000,1.000
GD,2023-11,22,60.000,55.000,1.000
GD,2023-12,21,60.000,55.000,1.000
GD,2024-01,21,60.000,55.000,1.000
GD,2024-02,20,60.000,55.000,1.000
GD,2024-03,20,60.000,55.000,1.000
GD,2024-04,22,60.000,55.000,1.000
GD,2024-05,21,60.000,55.000,1.000
GD,2024-06,19,0.000,-5.000,0.368
GD,2024-07,23,0.000,-5.000,0.000
GD,2024-08,22,-175.000,-5.000,0.000
GD,2024-09,21,-175.000,-5.000,0.000
GD,2024-10,23,-175.000,-5.000,0.000
GD,2024-11,20,-175.000,-5.000,0.000
GD,2024-12,21,-175.000,-5.000,0.000
GD,2025-01,20,-175.000,-5.000,0.000
GD,2025-02,20,-120.000,55.000,0.000
GD,2025-03,21,-120.000,55.000,0.000
GD,2025-04,22,-120.000,55.000,0.000
GD,2025-05,20,-120.000,55.000,0.000
GD,2025-06,20,-120.000,55.000,0.000
GD,2025-07,23,-120.000,55.000,0.000
GD,2025-08,21,-120.000,55.000,0.000
GD,2025-09,22,-120.000,55.000,0.000
GD,2025-10,23,-120.000,55.000,0.000
GD,2025-11,19,-120.000,55.000,0.000
GD,2025-12,22,-120.000,55.000,0.000
GD,2026-01,19,-120.000,55.000,0.000
GD,2026-02,20,-120.000,55.000,0.000
GD,2026-03,22,-120.000,55.000,0.000
GD,2026-04,22,-120.000,55.000,0.000
GD,2026-05,21,-120.000,55.000,0.000
GD,2026-06,22,-120.000,55.000,0.000
GD,2026-07,23,0.000,175.000,0.000
GD,2026-08,21,0.000,175.000,0.000
GD,2026-09,9,0.000,175.000,0.000
GL,2023-06,3,55.000,50.000,0.667
GL,2023-07,21,55.000,50.000,1.000
GL,2023-08,23,55.000,50.000,1.000
GL,2023-09,21,55.000,50.000,1.000
GL,2023-10,22,55.000,50.000,1.000
GL,2023-11,22,55.000,50.000,1.000
GL,2023-12,21,55.000,50.000,1.000
GL,2024-01,21,55.000,50.000,1.000
GL,2024-02,20,55.000,50.000,1.000
GL,2024-03,20,60.000,55.000,1.000
GL,2024-04,22,60.000,55.000,1.000
GL,2024-05,21,60.000,55.000,1.000
GL,2024-06,19,0.000,-5.000,0.368
GL,2024-07,23,0.000,-5.000,0.000
GL,2024-08,22,-175.000,-7.500,0.000
GL,2024-09,21,-180.000,-10.000,0.000
GL,2024-10,23,-175.000,-5.000,0.000
GL,2024-11,20,-175.000,-5.000,0.000
GL,2024-12,21,-175.000,-5.000,0.000
GL,2025-01,20,-175.000,-5.000,0.000
GL,2025-02,20,-120.000,55.000,0.000
GL,2025-03,21,-125.000,50.000,0.000
GL,2025-04,22,-120.000,55.000,0.000
GL,2025-05,20,-120.000,55.000,0.000
GL,2025-06,20,-120.000,55.000,0.000
GL,2025-07,23,-120.000,55.000,0.000
GL,2025-08,21,-125.000,50.000,0.000
GL,2025-09,22,-120.000,55.000,0.000
GL,2025-10,23,-120.000,55.000,0.000
GL,2025-11,19,-120.000,55.000,0.000
GL,2025-12,22,-120.000,55.000,0.000
GL,2026-01,19,-120.000,55.000,0.000
GL,2026-02,20,-120.000,55.000,0.000
GL,2026-03,22,-120.000,55.000,0.000
GL,2026-04,22,-120.000,55.000,0.000
GL,2026-05,21,-120.000,55.000,0.000
GL,2026-06,21,-120.000,55.000,0.000
GL,2026-07,23,-5.000,170.000,0.000
GL,2026-08,21,0.000,175.000,0.000
GL,2026-09,9,0.000,175.000,0.000
MX,2022-01,20,87.500,170.000,1.000
MX,2022-02,18,87.500,170.000,0.944
MX,2022-03,6,-2.500,-10.000,0.000
MX,2022-04,21,-2.500,-10.000,0.000
MX,2022-05,18,-2.500,-10.000,0.000
MX,2022-06,21,-2.500,-10.000,0.000
MX,2022-07,21,-2.500,-10.000,0.000
MX,2022-08,23,-2.500,-10.000,0.000
MX,2022-09,22,57.500,50.000,0.682
MX,2022-10,21,57.500,50.000,1.000
MX,2022-11,21,57.500,50.000,1.000
MX,2022-12,22,57.500,50.000,1.000
MX,2023-01,21,55.000,50.000,1.000
MX,2023-02,19,55.000,50.000,1.000
MX,2023-03,22,55.000,50.000,1.000
MX,2023-04,20,55.000,50.000,1.000
MX,2023-05,21,55.000,50.000,1.000
MX,2023-06,21,55.000,50.000,1.000
MX,2023-07,21,60.000,55.000,1.000
MX,2023-08,23,60.000,55.000,1.000
MX,2023-09,21,55.000,50.000,1.000
MX,2023-10,22,55.000,50.000,1.000
MX,2023-11,22,60.000,55.000,1.000
MX,2023-12,21,60.000,55.000,1.000
MX,2024-01,21,60.000,55.000,1.000
MX,2024-02,20,60.000,55.000,1.000
MX,2024-03,20,60.000,55.000,1.000
MX,2024-04,22,60.000,55.000,1.000
MX,2024-05,21,60.000,55.000,1.000
MX,2024-06,19,0.000,-5.000,0.368
MX,2024-07,23,0.000,-5.000,0.000
MX,2024-08,22,-175.000,-5.000,0.000
MX,2024-09,21,-175.000,-5.000,0.000
MX,2024-10,23,-175.000,-5.000,0.000
MX,2024-11,20,-175.000,-5.000,0.000
MX,2024-12,21,-175.000,-5.000,0.000
MX,2025-01,20,-175.000,-5.000,0.000
MX,2025-02,20,-120.000,55.000,0.000
MX,2025-03,21,-120.000,55.000,0.000
MX,2025-04,22,-120.000,55.000,0.000
MX,2025-05,20,-120.000,55.000,0.000
MX,2025-06,20,-120.000,55.000,0.000
MX,2025-07,23,-120.000,55.000,0.000
MX,2025-08,21,-120.000,55.000,0.000
MX,2025-09,22,-120.000,55.000,0.000
MX,2025-10,23,-120.000,55.000,0.000
MX,2025-11,19,-120.000,55.000,0.000
MX,2025-12,22,-120.000,55.000,0.000
MX,2026-01,19,-120.000,55.000,0.000
MX,2026-02,20,-120.000,55.000,0.000
MX,2026-03,22,-120.000,55.000,0.000
MX,2026-04,22,-120.000,55.000,0.000
MX,2026-05,21,-120.000,55.000,0.000
MX,2026-06,22,-120.000,55.000,0.000
MX,2026-07,23,0.000,175.000,0.000
MX,2026-08,21,0.000,175.000,0.000
MX,2026-09,9,0.000,175.000,0.000
NG,2022-01,20,87.500,170.000,1.000
NG,2022-02,18,87.500,170.000,0.944
NG,2022-03,6,-2.500,-10.000,0.000
NG,2022-04,21,-2.500,-10.000,0.000
NG,2022-05,18,-2.500,-10.000,0.000
NG,2022-06,21,-2.500,-10.000,0.000
NG,2022-07,21,-2.500,-10.000,0.000
NG,2022-08,23,-2.500,-10.000,0.000
NG,2022-09,22,57.500,50.000,0.682
NG,2022-10,21,57.500,50.000,1.000
NG,2022-11,21,57.500,50.000,1.000
NG,2022-12,22,57.500,50.000,1.000
NG,2023-01,21,55.000,50.000,1.000
NG,2023-02,19,55.000,50.000,1.000
NG,2023-03,22,55.000,50.000,1.000
NG,2023-04,20,55.000,50.000,1.000
NG,2023-05,21,55.000,50.000,1.000
NG,2023-06,21,55.000,50.000,1.000
NG,2023-07,21,60.000,55.000,1.000
NG,2023-08,23,60.000,55.000,1.000
NG,2023-09,21,55.000,50.000,1.000
NG,2023-10,22,55.000,50.000,1.000
NG,2023-11,22,60.000,55.000,1.000
NG,2023-12,21,60.000,55.000,1.000
NG,2024-01,21,60.000,55.000,1.000
NG,2024-02,20,60.000,55.000,1.000
NG,2024-03,20,60.000,55.000,1.000
NG,2024-04,22,60.000,55.000,1.000
NG,2024-05,21,60.000,55.000,1.000
NG,2024-06,19,0.000,-5.000,0.368
NG,2024-07,23,0.000,-5.000,0.000
NG,2024-08,22,-175.000,-5.000,0.000
NG,2024-09,21,-175.000,-5.000,0.000
NG,2024-10,23,-175.000,-5.000,0.000
NG,2024-11,20,-175.000,-5.000,0.000
NG,2024-12,21,-175.000,-5.000,0.000
NG,2025-01,20,-175.000,-5.000,0.000
NG,2025-02,20,-120.000,55.000,0.000
NG,2025-03,21,-120.000,55.000,0.000
NG,2025-04,22,-120.000,55.000,0.000
NG,2025-05,20,-120.000,55.000,0.000
NG,2025-06,20,-120.000,55.000,0.000
NG,2025-07,23,-120.000,55.000,0.000
NG,2025-08,21,-120.000,55.000,0.000
NG,2025-09,22,-120.000,55.000,0.000
NG,2025-10,23,-120.000,55.000,0.000
NG,2025-11,19,-120.000,55.000,0.000
NG,2025-12,22,-120.000,55.000,0.000
NG,2026-01,19,-120.000,55.000,0.000
NG,2026-02,20,-120.000,55.000,0.000
NG,2026-03,22,-120.000,55.000,0.000
NG,2026-04,22,-120.000,55.000,0.000
NG,2026-05,21,-120.000,55.000,0.000
NG,2026-06,22,-120.000,55.000,0.000
NG,2026-07,23,0.000,175.000,0.000
NG,2026-08,21,0.000,175.000,0.000
NG,2026-09,9,0.000,175.000,0.000
Si,2022-01,20,87.500,170.000,1.000
Si,2022-02,18,87.500,170.000,0.944
Si,2022-03,6,-2.500,-10.000,0.000
Si,2022-04,21,-2.500,-10.000,0.000
Si,2022-05,18,-2.500,-10.000,0.000
Si,2022-06,21,-2.500,-10.000,0.000
Si,2022-07,21,-2.500,-10.000,0.000
Si,2022-08,23,-2.500,-10.000,0.000
Si,2022-09,22,57.500,50.000,0.682
Si,2022-10,21,57.500,50.000,1.000
Si,2022-11,21,57.500,50.000,1.000
Si,2022-12,22,57.500,50.000,1.000
Si,2023-01,21,55.000,50.000,1.000
Si,2023-02,19,55.000,50.000,1.000
Si,2023-03,22,55.000,50.000,1.000
Si,2023-04,20,55.000,50.000,1.000
Si,2023-05,21,55.000,50.000,1.000
Si,2023-06,21,55.000,50.000,1.000
Si,2023-07,21,60.000,55.000,1.000
Si,2023-08,23,60.000,55.000,1.000
Si,2023-09,21,55.000,50.000,1.000
Si,2023-10,22,55.000,50.000,1.000
Si,2023-11,22,60.000,55.000,1.000
Si,2023-12,21,60.000,55.000,1.000
Si,2024-01,21,60.000,55.000,1.000
Si,2024-02,20,60.000,55.000,1.000
Si,2024-03,20,60.000,55.000,1.000
Si,2024-04,22,60.000,55.000,1.000
Si,2024-05,21,60.000,55.000,1.000
Si,2024-06,19,0.000,-5.000,0.368
Si,2024-07,23,0.000,-5.000,0.000
Si,2024-08,22,-175.000,-5.000,0.000
Si,2024-09,21,-175.000,-5.000,0.000
Si,2024-10,23,-175.000,-5.000,0.000
Si,2024-11,20,-175.000,-5.000,0.000
Si,2024-12,21,-175.000,-5.000,0.000
Si,2025-01,20,-175.000,-5.000,0.000
Si,2025-02,20,-120.000,55.000,0.000
Si,2025-03,21,-120.000,55.000,0.000
Si,2025-04,22,-120.000,55.000,0.000
Si,2025-05,20,-120.000,55.000,0.000
Si,2025-06,20,-120.000,55.000,0.000
Si,2025-07,23,-120.000,55.000,0.000
Si,2025-08,21,-120.000,55.000,0.000
Si,2025-09,22,-120.000,55.000,0.000
Si,2025-10,23,-120.000,55.000,0.000
Si,2025-11,19,-120.000,55.000,0.000
Si,2025-12,22,-120.000,55.000,0.000
Si,2026-01,19,-120.000,55.000,0.000
Si,2026-02,19,-120.000,55.000,0.000
Si,2026-03,22,-120.000,55.000,0.000
Si,2026-04,22,-120.000,55.000,0.000
Si,2026-05,20,-120.000,55.000,0.000
Si,2026-06,21,-120.000,55.000,0.000
Si,2026-07,23,-5.000,170.000,0.000
Si,2026-08,21,0.000,175.000,0.000
Si,2026-09,9,0.000,175.000,0.000
